Code :2209     | Name:ED50 / 3-degree Gauss-Kruger zone 12                                | Test result is OK!
Code :2210     | Name:ED50 / 3-degree Gauss-Kruger zone 13                                | Test result is OK!
Code :2211     | Name:ED50 / 3-degree Gauss-Kruger zone 14                                | Test result is OK!
Code :2212     | Name:ED50 / 3-degree Gauss-Kruger zone 15                                | Test result is OK!
Code :2213     | Name:ETRS89 / TM 30 NE                                                   | Test result is OK!
Code :2215     | Name:Manoca 1962 / UTM zone 32N                                          | Test result is OK!
Code :2216     | Name:Qornoq 1927 / UTM zone 22N                                          | Test result is OK in center, but not in corners: diff(lon) =   -0.0000    0.0003    0.0149   -0.0001    0.0108 | diff(lat) =   -0.0000    0.0000    0.0002   -0.0001    0.0006 
Code :2217     | Name:Qornoq 1927 / UTM zone 23N                                          | Test result is not OK: diff(lon) =   -0.0008   -0.3780    0.0004   -0.2856   -0.0001 | diff(lat) =   -0.0000    0.0066    0.0000    0.0234   -0.0001 
Code :2218     | Name:Scoresbysund 1952 / Greenland zone 5 east                           | Test result is not OK: diff(lon) =    0.0001    0.0001    0.0001    0.0001    0.0000 | diff(lat) =    0.1218    0.1138    0.1138    0.1295    0.1295 
Code :2219     | Name:ATS77 / UTM zone 19N                                                | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2220     | Name:ATS77 / UTM zone 20N                                                | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2221     | Name:Scoresbysund 1952 / Greenland zone 6 east                           | Test result is not OK: diff(lon) =    0.0000    0.0000    0.0000    0.0000    0.0000 | diff(lat) =    0.1320    0.1295    0.1295    0.1344    0.1344 
Code :2222     | Name:NAD83 / Arizona East (ft)                                           | Test result is OK!
Code :2223     | Name:NAD83 / Arizona Central (ft)                                        | Test result is OK!
Code :2224     | Name:NAD83 / Arizona West (ft)                                           | Test result is OK!
Code :2225     | Name:NAD83 / California zone 1 (ftUS)                                    | Test result is OK!
Code :2226     | Name:NAD83 / California zone 2 (ftUS)                                    | Test result is OK!
Code :2227     | Name:NAD83 / California zone 3 (ftUS)                                    | Test result is OK!
Code :2228     | Name:NAD83 / California zone 4 (ftUS)                                    | Test result is OK!
Code :2229     | Name:NAD83 / California zone 5 (ftUS)                                    | Test result is OK!
Code :2230     | Name:NAD83 / California zone 6 (ftUS)                                    | Test result is OK!
Code :2231     | Name:NAD83 / Colorado North (ftUS)                                       | Test result is OK!
Code :2232     | Name:NAD83 / Colorado Central (ftUS)                                     | Test result is OK!
Code :2233     | Name:NAD83 / Colorado South (ftUS)                                       | Test result is OK!
Code :2234     | Name:NAD83 / Connecticut (ftUS)                                          | Test result is OK!
Code :2235     | Name:NAD83 / Delaware (ftUS)                                             | Test result is OK!
Code :2236     | Name:NAD83 / Florida East (ftUS)                                         | Test result is OK!
Code :2237     | Name:NAD83 / Florida West (ftUS)                                         | Test result is OK!
Code :2238     | Name:NAD83 / Florida North (ftUS)                                        | Test result is OK!
Code :2239     | Name:NAD83 / Georgia East (ftUS)                                         | Test result is OK!
Code :2240     | Name:NAD83 / Georgia West (ftUS)                                         | Test result is OK!
Code :2241     | Name:NAD83 / Idaho East (ftUS)                                           | Test result is OK!
Code :2242     | Name:NAD83 / Idaho Central (ftUS)                                        | Test result is OK!
Code :2243     | Name:NAD83 / Idaho West (ftUS)                                           | Test result is OK!
Code :2246     | Name:NAD83 / Kentucky North (ftUS)                                       | Test result is OK!
Code :2247     | Name:NAD83 / Kentucky South (ftUS)                                       | Test result is OK!
Code :2248     | Name:NAD83 / Maryland (ftUS)                                             | Test result is OK!
Code :2249     | Name:NAD83 / Massachusetts Mainland (ftUS)                               | Test result is OK!
Code :2250     | Name:NAD83 / Massachusetts Island (ftUS)                                 | Test result is OK!
Code :2251     | Name:NAD83 / Michigan North (ft)                                         | Test result is OK!
Code :2252     | Name:NAD83 / Michigan Central (ft)                                       | Test result is OK!
Code :2253     | Name:NAD83 / Michigan South (ft)                                         | Test result is OK!
Code :2254     | Name:NAD83 / Mississippi East (ftUS)                                     | Test result is OK!
Code :2255     | Name:NAD83 / Mississippi West (ftUS)                                     | Test result is OK!
Code :2256     | Name:NAD83 / Montana (ft)                                                | Test result is OK!
Code :2257     | Name:NAD83 / New Mexico East (ftUS)                                      | Test result is OK!
Code :2258     | Name:NAD83 / New Mexico Central (ftUS)                                   | Test result is OK!
Code :2259     | Name:NAD83 / New Mexico West (ftUS)                                      | Test result is OK!
Code :2260     | Name:NAD83 / New York East (ftUS)                                        | Test result is OK!
Code :2261     | Name:NAD83 / New York Central (ftUS)                                     | Test result is OK!
Code :2262     | Name:NAD83 / New York West (ftUS)                                        | Test result is OK!
Code :2263     | Name:NAD83 / New York Long Island (ftUS)                                 | Test result is OK!
Code :2264     | Name:NAD83 / North Carolina (ftUS)                                       | Test result is OK!
Code :2265     | Name:NAD83 / North Dakota North (ft)                                     | Test result is OK!
Code :2266     | Name:NAD83 / North Dakota South (ft)                                     | Test result is OK!
Code :2267     | Name:NAD83 / Oklahoma North (ftUS)                                       | Test result is OK!
Code :2268     | Name:NAD83 / Oklahoma South (ftUS)                                       | Test result is OK!
Code :2269     | Name:NAD83 / Oregon North (ft)                                           | Test result is OK!
Code :2270     | Name:NAD83 / Oregon South (ft)                                           | Test result is OK!
Code :2271     | Name:NAD83 / Pennsylvania North (ftUS)                                   | Test result is OK!
Code :2272     | Name:NAD83 / Pennsylvania South (ftUS)                                   | Test result is OK!
Code :2273     | Name:NAD83 / South Carolina (ft)                                         | Test result is OK!
Code :2274     | Name:NAD83 / Tennessee (ftUS)                                            | Test result is OK!
Code :2275     | Name:NAD83 / Texas North (ftUS)                                          | Test result is OK!
Code :2276     | Name:NAD83 / Texas North Central (ftUS)                                  | Test result is OK!
Code :2277     | Name:NAD83 / Texas Central (ftUS)                                        | Test result is OK!
Code :2278     | Name:NAD83 / Texas South Central (ftUS)                                  | Test result is OK!
Code :2279     | Name:NAD83 / Texas South (ftUS)                                          | Test result is OK!
Code :2280     | Name:NAD83 / Utah North (ft)                                             | Test result is OK!
Code :2281     | Name:NAD83 / Utah Central (ft)                                           | Test result is OK!
Code :2282     | Name:NAD83 / Utah South (ft)                                             | Test result is OK!
Code :2283     | Name:NAD83 / Virginia North (ftUS)                                       | Test result is OK!
Code :2284     | Name:NAD83 / Virginia South (ftUS)                                       | Test result is OK!
Code :2285     | Name:NAD83 / Washington North (ftUS)                                     | Test result is OK!
Code :2286     | Name:NAD83 / Washington South (ftUS)                                     | Test result is OK!
Code :2287     | Name:NAD83 / Wisconsin North (ftUS)                                      | Test result is OK!
Code :2288     | Name:NAD83 / Wisconsin Central (ftUS)                                    | Test result is OK!
Code :2289     | Name:NAD83 / Wisconsin South (ftUS)                                      | Test result is OK!
Code :2290     | Name:ATS77 / Prince Edward Isl. Stereographic (ATS77)                    | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2294     | Name:ATS77 / MTM Nova Scotia zone 4                                      | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2295     | Name:ATS77 / MTM Nova Scotia zone 5                                      | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2296     | Name:Ammassalik 1958 / Greenland zone 7 east                             | Test result is not OK: diff(lon) =    0.0000    0.0000    0.0000    0.0000    0.0000 | diff(lat) =    0.1415    0.1344    0.1344    0.1482    0.1482 
Code :2299     | Name:Qornoq 1927 / Greenland zone 2 west                                 | Test result is not OK: diff(lon) =    0.0000    0.0001   -0.0000    0.0001   -0.0000 | diff(lat) =    0.0757    0.0726    0.0726    0.0788    0.0788 
Code :2301     | Name:Qornoq 1927 / Greenland zone 3 west                                 | Test result is not OK: diff(lon) =    0.0000    0.0001   -0.0000    0.0000   -0.0001 | diff(lat) =    0.0879    0.0788    0.0788    0.0968    0.0968 
Code :2303     | Name:Qornoq 1927 / Greenland zone 4 west                                 | Test result is not OK: diff(lon) =    0.0000    0.0000    0.0000   -0.0000   -0.0000 | diff(lat) =    0.1054    0.0968    0.0968    0.1138    0.1138 
Code :2304     | Name:Qornoq 1927 / Greenland zone 5 west                                 | Test result is not OK: diff(lon) =   -0.0000    0.0000   -0.0000   -0.0000   -0.0000 | diff(lat) =    0.1218    0.1138    0.1138    0.1295    0.1295 
Code :2305     | Name:Qornoq 1927 / Greenland zone 6 west                                 | Test result is not OK: diff(lon) =   -0.0000   -0.0000   -0.0000   -0.0000   -0.0001 | diff(lat) =    0.1368    0.1295    0.1295    0.1438    0.1438 
Code :2306     | Name:Qornoq 1927 / Greenland zone 7 west                                 | Test result is not OK: diff(lon) =   -0.0001   -0.0000   -0.0001   -0.0001   -0.0001 | diff(lat) =    0.1503    0.1437    0.1438    0.1564    0.1565 
Code :2307     | Name:Qornoq 1927 / Greenland zone 8 east                                 | Test result is not OK: diff(lon) =   -0.0001   -0.0000   -0.0001   -0.0001   -0.0001 | diff(lat) =    0.1626    0.1564    0.1564    0.1682    0.1683 
