CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1998.201,6/30/1998,6/30/1998,EPSG,Delete erroneous NADCON WGS84 entries.,Trf_nonpoly  Trf_path  Geod_trf,1242  1244  8145  8147  8545  8547,,Records deleted.
1998.203,6/30/1998,6/30/1998,EPSG,Add NAD83 to ITRF,Trf_nonpoly  Trf_path  Geod_trf,,WGS 84 considered coincident with ITRF for E&P purposes.,"Added non-polynomial transformation 1308, transformation path 8630-8632 and geodetic transformation 8230-8232."
1998.21,6/30/1998,6/30/1998,EPSG,Add Common Offshore transformation,Trf_nonpoly  Trf_path  Geod_trf,,,"Added non-polynomial transformation 1311, transformation path 8637 and geodetic transformation 8237."
1998.22,7/21/1998,11/11/1998,Melita Kennedy; ESRI,Check Michigan State Plane units,Ellipsoid  HorizCS  Trf_nonpoly  UOM_length,7009  9004  12101-3  12111-3  26801-3  26811-3,,Changed units for Clarke 1866 Michigan ellipsoid and all six NAD27 Michigan State Plane zones from Modified American foot to US Survey Foot.  Deleted Modified American foot.
1998.23,9/29/1998,9/29/1998,EPSG,Version 4.1 release,,,,Version 4.1 release.
1998.24,9/29/1998,11/11/1998,Jean-Patrick Girbig; Petroconsultants,Add Tunisia Mining Grid,Trf_method  HorizCS  Trf_nonpoly  UOM_length,,,Added length unit 9036; transformation method 9816; non-polynomial transformation 19927; geogCS 4816; projCS 22300.
1998.25,10/9/1998,11/11/1998,EPSG,Add Angola ProjCSs and transformations,Trf_nonpoly  Geod_trf   Trf_nonpoly  HorizCS,,,Added non-polynomial transformations 16611-12 and 1317-1330; HorizCS 22091-92; Geodetic transformations 8249-8662.
1998.26,10/10/1998,11/11/1998,EPSG,Correct source GeogCS code in ProjCS report,,,,New reports included in v4.2.
1998.27,10/13/1998,4/22/1999,Henri Dupuy; Woodside Petroleum.,Add Mauritania information,,,Insufficient information provided.,Referred to reporter.
1998.28,10/16/1998,11/11/1998,EPSG,Change Common Offshore transformation name,Geod_trf,8237  8238,Geod_trf name changed from that of non-poly_trf abbreviation to non-poly_trf name.,Delete geod_trf 8237 and replace by 8238 retaining same path to non-poly_trf 1311.
1998.29,11/2/1998,11/11/1998,Nadine Delisle; HMR,Check South Africa and Namibia ProjCS,,,No problem dentified.,Informed reporter.
1998.3,1/2/1998,11/11/1998,Nadine Delisle; HMR,Correct datum for ProjCS NAD83 / North Carolina,HorizCS,26719,,Correct source GeogCS from 4267 to 4269.
1998.31,11/6/1998,11/11/1998,EPSG,Add Iran Final Datum 1958,Geod_Datum  HorizCS,,,Added Geod_datum 6132; GeogCS 4132 and ProjCS 3200.
