COORD_OP_METHOD_CODE,PARAMETER_CODE,SORT_ORDER,PARAM_SIGN_REVERSAL
9811,8806,3,No
9812,8806,6,No
9813,8806,5,No
9817,8806,4,No
9818,8806,3,No
9819,8806,6,No
9820,8806,3,No
9821,8806,3,No
9823,8806,3,No
9824,8806,5,No
9826,8806,4,No
9827,8806,3,No
9828,8806,3,No
9829,8806,3,No
9831,8806,3,No
9832,8806,3,No
9833,8806,3,No
9834,8806,3,No
9835,8806,3,No
9840,8806,3,No
9841,8806,4,No
9842,8806,3,No
1024,8807,4,No
1026,8807,4,No
1027,8807,4,No
1028,8807,4,No
1029,8807,4,No
9801,8807,5,No
9804,8807,5,No
9805,8807,4,No
9806,8807,4,No
9807,8807,5,No
9808,8807,5,No
9809,8807,5,No
9810,8807,5,No
9811,8807,4,No
9812,8807,7,No
9813,8807,6,No
9817,8807,5,No
9818,8807,4,No
9819,8807,7,No
9820,8807,4,No
9821,8807,4,No
9823,8807,4,No
9824,8807,6,No
9826,8807,5,No
9827,8807,4,No
9828,8807,4,No
9829,8807,4,No
9831,8807,4,No
9832,8807,4,No
9833,8807,4,No
9834,8807,4,No
9835,8807,4,No
9840,8807,4,No
9841,8807,5,No
9842,8807,4,No
9812,8811,1,No
9813,8811,1,No
9814,8811,1,No
9815,8811,1,No
9819,8811,1,No
9812,8812,2,No
9813,8812,2,No
9814,8812,2,No
9815,8812,2,No
9812,8813,3,No
9813,8813,3,No
9815,8813,3,No
9819,8813,3,No
9812,8814,4,No
9815,8814,4,No
9812,8815,5,No
9813,8815,4,No
9815,8815,5,No
9814,8816,3,No
9815,8816,6,No
9814,8817,4,No
9815,8817,7,No
9819,8818,4,No
9819,8819,5,No
9802,8821,1,No
9803,8821,1,No
9816,8821,1,No
9822,8821,1,No
9802,8822,2,No
9803,8822,2,No
9816,8822,2,No
9822,8822,2,No
9842,8822,2,No
1028,8823,1,No
1029,8823,1,No
9802,8823,3,No
9803,8823,3,No
9805,8823,1,No
9822,8823,3,No
9834,8823,1,No
9835,8823,1,No
9802,8824,4,No
9803,8824,4,No
9822,8824,4,No
9802,8826,5,No
9803,8826,5,No
9816,8826,3,No
9822,8826,5,No
9830,8826,3,No
9802,8827,6,No
9803,8827,6,No
9816,8827,4,No
9822,8827,6,No
9830,8827,4,No
9821,8828,1,No
9821,8829,2,No
9824,8830,2,No
9824,8831,3,No
9829,8832,1,No
9830,8832,1,No
9819,8833,2,No
9829,8833,2,No
9830,8833,2,No
9837,8834,1,No
9838,8834,1,
9839,8834,1,
9837,8835,2,No
9838,8835,2,
9839,8835,2,
9837,8836,3,No
9838,8836,3,
9836,8837,1,No
9836,8838,2,No
9836,8839,3,No
9838,8840,4
